order,name,time,about,description
1,1,5th–4th Century BCE,Pythagorean School: Proposed emission theory—eyes emit rays to detect objects.,"Engraving shows people viewing a dragon using visual rays, illustrating emission theory—vision through rays from eyes forming shared perception."
2,2,5th–4th Century BCE,Pythagorean School: Proposed emission theory—eyes emit rays to detect objects.,"Engraving shows people viewing a dragon using visual rays, illustrating emission theory—vision through rays from eyes forming shared perception."
3,3,4th Century BCE,Democritus: Intromission theory—objects emit particles that enter the eyes.,"Vision occurs when light rays enter the eyes from objects, forming images inside—opposite of emission theory's outward rays."
4,8,4th Century BCE,Plato (Timaeus): Vision involves "visual fire" from the eyes meeting external light.,
5,9,9th and 13th centuries,Ibn al-Haytham (Alhazen) ,"Alhazen demonstrates camera obscura: light through a small hole projects inverted image inside a dark room, proving intromission theory."
6,10,9th and 13th centuries,Ibn al-Haytham proposed that light reflects from objects into the eye.,"Medieval Arabic diagram showing brain and optic nerves, illustrating early neuroscience and intromission vision theory during the Islamic Golden Age."
7,11,Medieval,The Allegory of Good Government: Effects of Good Government on the City,Scattered perspective shows urban daily life; multiple viewpoints prioritize narrative over realistic spatial representation.
8,12,Early 15th Century,Filippo Brunelleschi,"Linear perspective drawing and realized architecture both express Brunelleschi’s vision of harmony, proportion, and spatial clarity in Renaissance design."
9,13,Early 15th Century,Filippo Brunelleschi‘s perspective,Filippo Brunelleschi’s experiment with linear perspective
10,14,Early 15th Century,The Delivery of the Keys,"Perugino’s use of one-point perspective unifies space, architecture, and narrative, embodying Renaissance ideals of order, clarity, and divine logic."
11,15,Early 15th Century,Ideal City (or Ideal Cityscape),"An ideal Renaissance city rendered in perfect one-point perspective, symbolizing harmony, geometry, and humanist urban ideals through classical architecture."
12,16,1500s, Leonardo da Vinci,"Leonardo’s diagram unites optics and perspective, showing how vision structures depth perception through converging rays and spatial geometry."
13,17,1500s,Leonardo da Vinci and later developer,"Leonardo studied camera obscura to understand vision and perspective, connecting optics, nature, and art through light and projection."
14,18,1500s, Leonardo da Vinci and later developer,"An evolved camera obscura, reflecting Leonardo’s optical principles, projects real scenes for artistic tracing, linking vision, geometry, and image-making."
15,19,1500s, Leonardo da Vinci ,"This drawing is from Leonardo da Vinci’s notebooks, and it’s a powerful visual explanation of how vision and light work together—a synthesis of anatomy, optics, geometry, and perspective."
16,21,1500s, Leonardo da Vinci ,"Leonardo’s perspective study unites architecture and narrative, using geometric precision to structure space, movement, and visual drama dynamically."
17,22,1500s, Leonardo da Vinci ,"Leonardo’s setup uses a transparent grid to trace objects, blending optics, geometry, and manual precision to master spatial representation."
18,23,1500s, Leonardo da Vinci ,"Leonardo’s Last Supper unites linear perspective, psychological depth, and spiritual symbolism, making Christ the focal point of human drama."
19,24,1600s,Johannes Kepler,Kepler revolutionized optics by showing the eye forms inverted images on the retina—this diagram illustrates his influence on vision science.
20,7,1600s,Johannes Kepler,"These diagrams show the shift from optical refraction to neural mechanics, tracing vision from eye to brain to bodily response."
21,25,1650s,Isaac Newton ,"This prism image references Newton’s discovery that white light contains all colors, foundational to modern optics and color theory."
22,26,1650s,Isaac Newton and Christiaan Huygens,"This diagram visualizes early optics, aligning with Newton’s particle theory and Huygens’ wave model—two foundations of modern light science."
23,27,1650s,Isaac Newton and Christiaan Huygens,"This diagram shows image inversion through a lens, foundational to Kepler’s retinal theory and Newton-Huygens optical developments in vision science."
24,28,1839-, Louis Daguerre,"Louis Daguerre invented the camera by fixing images with light-sensitive plates, transforming centuries of optical theory into photography."
